cycle,cycle_norm,s04,s11,s12,s15,s17,s04_rollmean,s11_rollmean,s12_rollmean,s17_rollmean,RUL
82,0.3166023166023166,1398.88,47.27,522.36,8.4272,392,1402.7820000000002,47.276,522.162,392.0,177
48,0.25,1399.16,47.4,521.91,8.4376,392,1400.736,47.34400000000001,521.9599999999999,392.4,144
28,0.11666666666666667,1406.71,47.41,521.77,8.4335,394,1405.6,47.406,521.8399999999999,392.6,212
170,0.7981220657276995,1417.16,47.79,520.67,8.4597,396,1417.3480000000002,47.802,520.802,395.0,43
192,0.897196261682243,1419.79,47.8,520.11,8.4801,395,1417.118,47.788,520.702,394.8,22
68,0.21725239616613418,1400.86,47.5,521.81,8.4107,393,1406.292,47.462,521.95,392.8,245
63,0.2692307692307692,1411.68,47.43,521.59,8.418,394,1407.99,47.45399999999999,521.39,392.8,171
17,0.12408759124087591,1404.35,47.31,521.76,8.3926,391,1400.8139999999999,47.274,521.8720000000001,392.2,120
33,0.21153846153846154,1407.24,47.37,521.75,8.446,394,1403.4779999999998,47.396,521.65,392.8,123
38,0.19689119170984457,1405.96,47.41,521.56,8.3921,393,1402.67,47.418,521.4939999999999,392.8,155
186,0.8732394366197183,1418.5,48.01,520.48,8.5045,396,1420.6,47.878,520.3199999999999,395.4,27
25,0.12562814070351758,1408.98,47.28,521.73,8.4343,393,1410.2640000000001,47.412,521.558,392.8,174
67,0.3435897435897436,1405.79,47.43,521.98,8.436,392,1404.424,47.366,521.8100000000001,392.8,128
178,0.9888888888888889,1432.46,48.26,519.98,8.4919,397,1427.0800000000002,48.14399999999999,520.044,396.4,2
78,0.33766233766233766,1400.32,47.28,522.26,8.3838,391,1398.73,47.13,522.208,391.0,153
127,0.596244131455399,1417.42,47.79,520.63,8.47,394,1414.282,47.768,520.818,393.8,86
109,0.4759825327510917,1408.99,47.47,521.09,8.4117,394,1411.002,47.504000000000005,521.1139999999999,392.6,120
112,0.6787878787878788,1406.63,47.44,521.66,8.4343,392,1404.112,47.396,521.7539999999999,393.0,53
247,0.7351190476190477,1410.02,47.72,521.15,8.4784,394,1410.962,47.674,521.296,393.4,89
24,0.12307692307692308,1407.67,47.54,521.17,8.4283,392,1406.1119999999999,47.378,521.656,391.8,171
75,0.4807692307692308,1411.99,47.46,521.93,8.4467,393,1406.6119999999999,47.516,521.8860000000001,392.8,81
143,0.7900552486187845,1414.48,47.64,520.86,8.474,393,1413.632,47.622,520.768,393.8,38
187,0.5565476190476191,1406.17,47.41,521.24,8.4396,392,1403.6,47.416,521.672,393.4,149
102,0.4927536231884058,1402.09,47.24,521.94,8.4293,394,1400.376,47.29,522.296,393.0,105
24,0.11483253588516747,1406.95,47.59,521.06,8.4398,392,1406.672,47.636,521.308,392.8,185
107,0.5169082125603864,1399.98,47.4,522.29,8.4147,392,1402.592,47.372,522.0260000000001,392.0,100
191,0.610223642172524,1405.65,47.62,521.35,8.4661,392,1408.618,47.536,521.418,393.2,122
26,0.09454545454545454,1418.45,47.57,521.75,8.4321,394,1409.074,47.542,521.326,393.4,249
223,0.9737991266375546,1430.09,48.21,519.49,8.4993,395,1427.934,48.178,519.8340000000001,395.8,6
200,1.0,1432.14,48.2,519.3,8.5036,396,1429.8120000000001,48.158,519.63,396.2,0
